,game_id,datetime,date,time,home_name,home_abbrev,visitor_name,visitor_abbrev,home_score,visitor_score,home_prob,visitor_prob,overtime_prob,time_str,home_logo,visitor_logo,home_record,home_rank,visitor_record,visitor_rank
739,2024020740,2025-01-20T13:00:00,2025-01-20,13:00:00,Boston Bruins,BOS,San Jose Sharks,SJS,4.136096006937873,2.4052215188095003,0.7825505205858685,0.2174494794141315,0.12857086961040481,1:00 PM,https://assets.nhle.com/logos/nhl/svg/BOS_dark.svg,https://assets.nhle.com/logos/nhl/svg/SJS_dark.svg,2-2-0,1st,0-1-1,1st
740,2024020741,2025-01-20T15:00:00,2025-01-20,15:00:00,Colorado Avalanche,COL,Minnesota Wild,MIN,3.8570636346851694,3.1658188160144616,0.6171319687572279,0.3828680312427722,0.1487021893939135,3:00 PM,https://assets.nhle.com/logos/nhl/svg/COL_dark.svg,https://assets.nhle.com/logos/nhl/svg/MIN_dark.svg,0-3-0,1st,1-0-2,1st
741,2024020742,2025-01-20T16:00:00,2025-01-20,16:00:00,Seattle Kraken,SEA,Buffalo Sabres,BUF,3.465432621304116,2.818596362946709,0.6176947128392652,0.3823052871607348,0.15775770637409425,4:00 PM,https://assets.nhle.com/logos/nhl/svg/SEA_dark.svg,https://assets.nhle.com/logos/nhl/svg/BUF_dark.svg,1-2-0,1st,1-3-0,1st
742,2024020743,2025-01-20T18:00:00,2025-01-20,18:00:00,Vegas Golden Knights,VGK,St. Louis Blues,STL,3.959354389454603,3.0612672966521317,0.6506736411341072,0.3493263588658928,0.14551816501352263,6:00 PM,https://assets.nhle.com/logos/nhl/svg/VGK_dark.svg,https://assets.nhle.com/logos/nhl/svg/STL_dark.svg,3-0-0,1st,2-1-0,1st
743,2024020744,2025-01-20T19:30:00,2025-01-20,19:30:00,Toronto Maple Leafs,TOR,Tampa Bay Lightning,TBL,3.49136641417672,3.281423970712926,0.5369213023280921,0.4630786976719079,0.15593441692529797,7:30 PM,https://assets.nhle.com/logos/nhl/svg/TOR_dark.svg,https://assets.nhle.com/logos/nhl/svg/TBL_dark.svg,2-1-0,1st,1-0-0,1st
744,2024020745,2025-01-20T19:30:00,2025-01-20,19:30:00,New York Islanders,NYI,Columbus Blue Jackets,CBJ,4.006888189280261,2.992487899641854,0.6693477203018425,0.3306522796981574,0.1435809249619597,7:30 PM,https://assets.nhle.com/logos/nhl/svg/NYI_dark.svg,https://assets.nhle.com/logos/nhl/svg/CBJ_dark.svg,1-1-1,1st,1-1-0,1st
745,2024020746,2025-01-20T20:30:00,2025-01-20,20:30:00,Chicago Blackhawks,CHI,Carolina Hurricanes,CAR,2.4778085747240417,4.038882493570758,0.24011683157000907,0.7598831684299909,0.13406656674553555,8:30 PM,https://assets.nhle.com/logos/nhl/svg/CHI_dark.svg,https://assets.nhle.com/logos/nhl/svg/CAR_dark.svg,1-1-1,1st,0-1-0,1st
746,2024020747,2025-01-20T21:30:00,2025-01-20,21:30:00,Utah Hockey Club,UTA,Winnipeg Jets,WPG,2.932264204807678,4.426231319461053,0.26637217679385056,0.7336278232061495,0.12991562785487126,9:30 PM,https://assets.nhle.com/logos/nhl/svg/UTA_dark.svg,https://assets.nhle.com/logos/nhl/svg/WPG_dark.svg,3-1-0,1st,3-0-0,1st
747,2024020748,2025-01-20T22:30:00,2025-01-20,22:30:00,Los Angeles Kings,LAK,Pittsburgh Penguins,PIT,3.494828495247165,3.361216982112868,0.5233325201485204,0.4766674798514796,0.1552216666663066,10:30 PM,https://assets.nhle.com/logos/nhl/svg/LAK_dark.svg,https://assets.nhle.com/logos/nhl/svg/PIT_dark.svg,1-0-2,1st,2-2-0,1st
748,2024020749,2025-01-21T19:00:00,2025-01-21,19:00:00,Montréal Canadiens,MTL,Tampa Bay Lightning,TBL,2.713632267879445,4.5973679835510906,0.21479675506640905,0.785203244933591,0.11953434811651067,7:00 PM,https://assets.nhle.com/logos/nhl/svg/MTL_dark.svg,https://assets.nhle.com/logos/nhl/svg/TBL_dark.svg,2-2-0,1st,1-0-0,1st
