,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
328,Mark Popovic,ATL,D,37,547.33333333333,2,2,2,0,4,18.18,24,8.33,1.28,68,46,11,3,0,1,10,5,5,0,0,6,9,18,60,43,61,0,0,-
329,Tim Jackman,NYI,R,54,521.03333333333,4,5,5,0,9,56.25,51,7.84,5.78,96,80,52,27,6,8,98,30,19,10,1,27,11,15,114,93,40,3,4,42.86
330,Fedor Tyutin,CBJ,D,80,1881.8833333333,6,26,11,15,32,36.36,149,4.03,7.84,303,208,62,8,3,9,49,22,21,1,0,12,22,18,84,173,124,1,2,33.33
331,Mike Cammalleri,MTL,L,65,1268.9333333333,26,24,16,8,50,58.82,218,11.93,20.19,376,278,201,85,10,11,16,8,8,0,0,16,46,34,18,50,27,26,25,50.98
332,Chris Thorburn,ATL,R,76,758.68333333333,4,9,7,2,13,56.52,63,6.35,5.9,98,80,60,29,8,6,89,26,16,9,1,24,8,32,103,69,37,16,13,55.17
333,Jason Pominville,BUF,R,82,1537.4833333333,24,38,20,18,62,65.96,252,9.52,21.12,435,333,223,76,13,9,22,11,11,0,0,21,32,49,45,99,41,42,78,35.00
334,Jay McClement,STL,C,82,1371.6333333333,11,18,13,5,29,67.44,109,10.09,10.17,180,142,108,47,5,11,22,11,11,0,0,9,28,39,66,54,52,701,711,49.65
335,Nathan Paetsch,"BUF, CBJ",D,21,218.61666666667,1,1,0,1,2,33.33,17,5.88,1.23,33,23,14,4,0,2,12,6,6,0,0,3,7,0,7,12,10,0,0,-
336,Tomas Plekanec,MTL,C,82,1637.0666666667,25,45,26,19,70,77.78,216,11.57,21.4,379,283,199,75,18,23,50,25,25,0,0,26,58,46,51,60,63,791,824,48.98
337,Jay Harrison,CAR,D,38,559.26666666667,1,5,1,4,6,37.50,30,3.33,1.41,68,44,12,3,0,6,50,16,10,6,0,9,11,6,67,35,46,0,0,-
338,Aaron Johnson,"CGY, EDM",D,41,641.63333333333,4,6,3,3,10,40.00,36,11.11,1.81,85,59,14,1,0,6,35,16,15,1,0,8,25,16,70,52,41,0,0,-
339,Stephane Veilleux,T.B,L,77,946.06666666667,3,6,2,4,9,64.29,94,3.19,7.33,159,121,92,35,12,5,48,17,14,2,1,24,10,27,88,63,29,10,15,40.00
340,Evgeny Artyukhin,"ANA, ATL",R,54,482.4,9,7,3,4,16,94.12,42,21.43,4.0,82,67,43,22,2,1,72,28,25,2,1,10,18,8,127,61,10,1,1,50.00
341,Patrick Sharp,CHI,L,82,1486.6833333333,25,41,28,13,66,67.35,266,9.40,24.61,438,352,226,87,10,14,28,14,14,0,0,11,33,51,45,91,24,241,225,51.72
342,Jordin Tootoo,NSH,R,51,552.88333333333,6,10,7,3,16,76.19,101,5.94,6.76,181,152,71,22,12,4,40,14,10,4,0,26,34,13,72,62,7,2,6,25.00
343,Christian Ehrhoff,VAN,D,80,1822.6833333333,14,30,16,14,44,36.07,181,7.73,9.98,393,276,94,9,5,37,42,21,21,0,0,17,54,30,54,114,82,0,0,-
344,Christoph Schubert,ATL,D,47,741.46666666667,2,5,1,4,7,28.00,73,2.74,3.01,139,100,24,5,4,6,69,29,27,1,1,9,26,25,150,73,51,0,0,-
345,Kyle Wellwood,VAN,C,75,1039.9666666667,14,11,6,5,25,51.02,98,14.29,12.41,149,128,110,54,8,5,12,6,6,0,0,10,30,30,30,77,18,390,335,53.79
346,Joel Perrault,PHX,C,2,19.816666666667,1,0,0,0,1,100.00,7,14.29,0.64,8,7,7,2,0,1,0,0,0,0,0,2,0,0,4,3,0,10,15,40.00
347,Kevin Bieksa,VAN,D,55,1200.7333333333,3,19,7,12,22,39.29,95,3.16,5.47,228,159,56,14,4,15,85,27,20,5,2,22,31,30,70,65,59,0,0,-
348,Dennis Seidenberg,"BOS, FLA",D,79,1810.75,4,28,12,16,32,44.44,153,2.61,6.14,295,204,48,9,4,19,39,14,12,1,1,16,25,24,166,230,215,0,1,0.00
349,Ryane Clowe,S.J,L,82,1407.8833333333,19,38,15,23,57,74.03,190,10.00,21.14,330,246,187,89,12,23,131,45,33,11,1,31,61,39,157,148,33,35,38,47.95
