,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
567,8477851,Jordan Oesterle,CGY,D,https://assets.nhle.com/mugs/nhl/20232024/CGY/8477851.png,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,jordanoesterle,22,297.38333333333,0,2,2,0,2,18.18,18,0.00,0.97,44,24,15,4,2,5,4,2,2,0,0,2,6,4,17,26,33,0,0,-
568,8474037,James van Riemsdyk,BOS,L,https://assets.nhle.com/mugs/nhl/20232024/BOS/8474037.png,https://assets.nhle.com/logos/nhl/svg/BOS_20232024_light.svg,jamesvanriemsdyk,71,958.93333333333,11,27,16,11,38,70.37,140,7.86,21.86,222,189,167,123,8,36,20,10,10,0,0,4,14,11,31,69,22,10,11,47.62
569,8479985,Cale Fleury,SEA,D,https://assets.nhle.com/mugs/nhl/20232024/SEA/8479985.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,calefleury,1,13.5,0,0,0,0,0,0.00,1,0.00,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,-
570,8480144,David Kampf,TOR,C,https://assets.nhle.com/mugs/nhl/20232024/TOR/8480144.png,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,davidkampf,78,1051.1,8,11,4,7,19,57.58,79,10.13,7.43,135,102,67,34,9,13,18,9,9,0,0,10,16,26,76,114,29,469,453,50.87
571,8480084,Nick DeSimone,NJD,D,https://assets.nhle.com/mugs/nhl/20232024/NJD/8480084.png,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,nickdesimone,34,458.35,2,5,1,4,7,35.00,28,7.14,0.91,69,38,18,2,3,12,4,2,2,0,0,1,13,3,26,48,42,0,0,-
572,8481716,Dmitri Voronkov,CBJ,L,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8481716.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,dmitrivoronkov,75,1009.2666666667,18,16,10,6,34,56.67,142,12.68,22.65,238,203,167,108,2,29,52,23,21,2,0,11,16,15,76,24,48,277,380,42.16
573,8479996,Cody Glass,NSH,C,https://assets.nhle.com/mugs/nhl/20232024/NSH/8479996.png,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,codyglass,41,550.71666666667,6,7,4,3,13,56.52,83,7.23,10.01,133,106,81,45,4,12,20,10,10,0,0,11,18,15,25,41,20,100,117,46.08
574,8483505,Matthew Poitras,BOS,C,https://assets.nhle.com/mugs/nhl/20232024/BOS/8483505.png,https://assets.nhle.com/logos/nhl/svg/BOS_20232024_light.svg,mattpoitras,33,442.06666666667,5,10,4,6,15,75.00,40,12.50,3.86,77,49,46,19,3,5,6,3,3,0,0,13,15,19,15,44,15,111,143,43.70
575,8478020,Michael Amadio,VGK,R,https://assets.nhle.com/mugs/nhl/20232024/VGK/8478020.png,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,michaelamadio,73,977.6,14,13,6,7,27,55.10,117,11.97,12.25,191,150,115,58,7,12,16,8,8,0,0,14,25,33,36,112,34,69,65,51.49
576,8470621,Corey Perry,EDM,R,https://assets.nhle.com/mugs/nhl/20232024/EDM/8470621.png,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,coreyperry,54,722.63333333333,12,10,6,4,22,56.41,82,14.63,11.65,143,120,95,60,4,19,46,17,13,4,0,14,20,15,40,70,17,0,1,0.00
