,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points
258,8482475,Yegor Chinakhov,R,CBJ,23,64.5,17.0,18.4,35.4
259,8480009,Eeli Tolvanen,R,SEA,25,69.2,15.9,19.4,35.3
260,8482105,Jake Sanderson,D,OTT,22,74.9,9.1,26.2,35.3
261,8480817,K'Andre Miller,D,NYR,24,71.6,8.2,27.1,35.3
262,8484203,Bradly Nadeau,L,CAR,19,65.3,13.8,21.3,35.1
263,8481604,Pavel Dorofeyev,L,VGK,24,66.1,19.9,15.1,35.0
264,8475763,Kevin Hayes,R,PIT,32,67.2,13.3,21.3,34.6
265,8478472,Mathieu Joseph,R,STL,27,68.3,12.8,21.8,34.6
266,8482671,Owen Power,D,BUF,22,69.1,9.1,25.5,34.6
267,8474149,Evgenii Dadonov,R,DAL,35,79.5,15.1,19.4,34.5
268,8476458,Ryan Strome,C,ANA,31,68.7,10.4,24.1,34.5
269,8477948,Travis Sanheim,D,PHI,28,67.5,7.8,26.7,34.5
270,8480829,Jesperi Kotkaniemi,C,CAR,24,67.5,15.2,19.2,34.4
271,8480849,Barrett Hayton,C,UTA,24,70.6,16.1,18.2,34.3
272,8476927,Teddy Blueger,C,VAN,30,66.8,10.8,23.5,34.3
273,8482705,Cole Sillinger,C,CBJ,21,66.1,15.5,18.5,34.0
274,8480459,Pius Suter,C,VAN,28,66.0,17.3,16.6,33.9
275,8478057,Dakota Joshua,C,VAN,28,68.6,14.6,19.3,33.9
276,8480893,Kirill Marchenko,R,CBJ,24,62.9,20.0,13.7,33.7
277,8482089,Jake Neighbours,L,STL,22,69.5,20.3,13.2,33.5
278,8475848,Brendan Gallagher,R,MTL,32,71.1,14.9,18.5,33.4
279,8477498,Darnell Nurse,D,EDM,29,72.1,9.2,24.2,33.4
280,8478463,Anthony Beauvillier,L,PIT,27,65.4,14.9,18.3,33.2
281,8482055,Drew O'Connor,L,PIT,26,63.9,18.5,14.6,33.1
282,8476854,Hampus Lindholm,D,BOS,30,73.1,7.1,26.0,33.1
283,8481577,Philip Tomasino,C,NSH,23,67.5,10.3,22.7,33.0
284,8483490,Pavel Mintyukov,D,ANA,21,68.8,7.3,25.6,32.9
285,8476981,Josh Anderson,R,MTL,30,71.4,15.3,17.5,32.8
286,8482133,Thomas Bordeleau,C,SJS,22,64.2,10.9,21.8,32.7
287,8479591,Michael Eyssimont,C,TBL,28,79.9,13.6,18.9,32.5
288,8480220,Noah Cates,L,PHI,25,70.7,12.2,20.0,32.2
289,8481546,Cam York,D,PHI,23,67.6,6.6,25.5,32.1
290,8478046,Danton Heinen,L,VAN,29,70.0,15.4,16.6,32.0
291,8476925,Colton Sissons,C,NSH,31,67.1,13.0,19.0,32.0
292,8476392,Adam Lowry,C,WPG,31,68.2,13.6,18.2,31.8
293,8480113,Alex Iafallo,L,WPG,31,67.0,13.0,18.6,31.6
294,8478133,Jake Evans,C,MTL,28,71.5,9.4,22.2,31.6
295,8476474,Stefan Noesen,R,NJD,31,66.1,16.1,15.3,31.4
296,8473422,Nick Foligno,L,CHI,37,63.5,15.0,16.3,31.3
297,8474716,Jared Spurgeon,D,MIN,35,74.5,10.3,20.7,31.0
298,8476463,Jonas Brodin,D,MIN,31,76.0,6.0,25.0,31.0
299,8477953,Kasperi Kapanen,R,STL,28,68.2,10.8,20.1,30.9
300,8474715,Cam Atkinson,R,TBL,35,80.0,15.4,15.4,30.8
301,8476885,Jacob Trouba,D,NYR,30,69.8,9.4,21.4,30.8
302,8478020,Michael Amadio,C,OTT,28,73.5,16.7,14.0,30.7
303,8481554,Kaapo Kakko,R,NYR,23,68.4,14.1,16.5,30.6
304,8475722,Jason Zucker,L,BUF,32,65.5,16.1,14.2,30.3
305,8480078,Filip Chytil,C,NYR,25,65.1,11.6,18.7,30.3
306,8481703,Valtteri Puustinen,R,PIT,25,57.8,6.4,23.9,30.3
307,8475149,Marcus Johansson,L,MIN,34,64.3,11.5,18.4,29.9
308,8482122,Brock Faber,D,MIN,22,76.5,5.7,24.2,29.9
309,8479390,Taylor Raddysh,R,WSH,26,64.2,14.2,15.6,29.8
310,8478891,Mason Appleton,C,WPG,28,64.8,12.0,17.8,29.8
311,8479351,Sam Steel,C,DAL,26,80.0,11.4,18.4,29.8
312,8481535,Nils Hoglander,L,VAN,24,65.7,15.6,14.1,29.7
313,8481523,Kirby Dach,C,MTL,23,65.2,10.6,19.1,29.7
314,8478500,Ivan Provorov,D,CBJ,27,78.5,4.4,25.3,29.7
315,8481582,Nicholas Robertson,L,TOR,23,73.0,13.1,16.5,29.6
316,8470621,Corey Perry,R,EDM,39,71.0,13.0,16.6,29.6
317,8477947,Sonny Milano,L,WSH,28,63.0,12.4,17.2,29.6
318,8478413,Jordan Greenway,L,BUF,27,63.1,12.1,17.2,29.3
319,8482660,Kent Johnson,C,CBJ,22,63.7,10.7,18.4,29.1
320,8480873,Rasmus Sandin,D,WSH,24,65.9,2.6,26.5,29.1
321,8475171,Oliver Ekman-Larsson,D,TOR,33,70.1,6.6,22.4,29.0
322,8476480,Vladislav Namestnikov,C,WPG,32,65.0,10.9,18.0,28.9
323,8480813,Joe Veleno,C,DET,24,78.3,14.2,14.6,28.8
324,8477425,Miles Wood,L,COL,29,77.8,13.3,15.4,28.7
325,8476902,Esa Lindell,D,DAL,30,80.9,5.7,23.0,28.7
326,8478109,Victor Olofsson,L,VGK,29,72.4,12.6,16.0,28.6
327,8479661,Tanner Jeannot,L,LAK,27,77.2,13.3,15.2,28.5
328,8478911,Matt Roy,D,WSH,29,66.7,8.6,19.9,28.5
329,8477952,Robby Fabbri,C,ANA,28,64.6,13.6,14.8,28.4
330,8474189,Lars Eller,C,PIT,35,66.2,13.4,15.0,28.4
331,8477987,Ryan Donato,C,CHI,28,64.6,13.3,14.7,28.0
332,8473533,Jordan Staal,C,CAR,36,63.6,11.9,16.0,27.9
333,8476921,Jordan Martinook,L,CAR,32,63.5,12.3,15.5,27.8
334,8483445,Cutter Gauthier,L,ANA,20,63.3,10.0,17.7,27.7
335,8474053,Logan Couture,C,SJS,35,60.7,9.6,18.1,27.7
336,8481656,Aliaksei Protas,C,WSH,23,63.5,9.4,18.3,27.7
337,8480871,Adam Boqvist,D,FLA,24,66.3,9.7,17.9,27.6
338,8480336,Sean Walker,D,CAR,30,72.8,7.3,20.3,27.6
339,8476979,Erik Gustafsson,D,DET,32,73.8,4.5,23.1,27.6
340,8479293,Brandon Tanev,L,SEA,33,65.4,13.4,14.1,27.5
341,8482749,Joshua Roy,R,MTL,21,65.0,10.7,16.7,27.4
342,8481624,Ilya Mikheyev,R,CHI,30,63.5,10.4,17.0,27.4
343,8477989,Christian Dvorak,C,MTL,28,66.3,10.8,16.5,27.3
344,8477488,Brett Pesce,D,NJD,30,69.9,6.6,20.7,27.3
345,8476278,Colin Blackwell,C,DAL,31,78.0,12.4,14.8,27.2
346,8482259,Bobby McMann,C,TOR,28,70.4,16.7,10.2,26.9
347,8480855,Jack McBain,C,UTA,24,67.8,11.3,15.6,26.9
348,8480802,Ryan McLeod,C,BUF,25,66.9,10.6,16.3,26.9
349,8475343,Nic Dowd,C,WSH,34,60.9,10.3,16.2,26.5
350,8481553,Bobby Brink,R,PHI,23,60.8,10.2,16.3,26.5
351,8477839,Conor Sheary,L,TBL,32,80.2,10.0,16.5,26.5
352,8476469,Joel Armia,R,MTL,31,66.0,13.0,13.2,26.2
353,8475193,Tomas Tatar,L,NJD,34,67.7,12.1,14.1,26.2
354,8479353,Brett Howden,C,VGK,26,69.1,11.0,15.2,26.2
355,8480144,David Kampf,C,TOR,29,77.0,9.8,16.3,26.1
