,Player,Position,Age,ATOI,Gper1kChunk
47,Aaron Ekblad,D,27,22.487008547595213,2.676009507873651
48,Mario Ferraro,D,25,22.44442372870191,0.6625283859812952
49,Jared Spurgeon,D,34,22.182873659827916,0.7529376149177551
50,Marco Kasper,C,19,22.099071608445534,0.4434886574745178
51,Adam Ginning,D,23,21.959701040965548,0.3250611126422882
52,MacKenzie Weegar,D,29,21.88157102303292,4.904080761971584
53,Connor McDavid,C,26,21.85729690253004,11.123216401402498
54,K'Andre Miller,D,23,21.84858657843716,2.7747267666367192
55,Nick Leddy,D,32,21.81422159892722,1.1767236140038082
56,Jacob Trouba,D,29,21.697014489236643,1.645194747589114
57,TJ Brodie,D,33,21.636525649651716,0.32307693362236023
58,Jaccob Slavin,D,29,21.632205961117037,1.797623616692399
59,Ryan Pulock,D,29,21.614713023233634,2.1767309552981615
60,Ryan McDonagh,D,34,21.601419311140457,1.0103691366350045
61,Dougie Hamilton,D,30,21.501267697897244,5.460749409490486
62,Brady Skjei,D,29,21.483697137809923,3.121014396592632
63,Sean Durzi,D,25,21.425551628195944,3.243148841631367
64,Mitchell Marner,C,26,21.366505003407283,9.419636998051164
65,Alex Vlasic,D,22,21.362545984688115,0.9623302398675585
66,Leon Draisaitl,C,28,21.285332367907213,12.200792757055103
67,Mattias Ekholm,D,33,21.27691701151416,1.9750622808609586
68,Mikey Anderson,D,24,21.26917006138972,0.7161050711927848
69,Nikita Kucherov,R,30,21.23172049695354,12.714081187907935
70,David Savard,D,33,21.20573574917325,2.338849151361766
71,Neal Pionk,D,28,21.18024431622971,1.9147658991430434
72,Cam York,D,22,21.17776105555959,2.200424684453118
73,Marcus Pettersson,D,27,21.16338548880567,1.0269876633105177
74,John Marino,D,26,21.127086427730454,1.6201489996066767
75,Vladislav Gavrikov,D,28,21.102463186327856,1.8531077063605834
76,Alexander Romanov,D,23,21.09409747231558,1.9136134521746393
77,Nick Suzuki,C,24,21.088583077949362,7.904861920108623
78,Brett Pesce,D,29,21.066603471058805,1.7611274798834242
79,Evan Bouchard,D,24,21.05140181607176,5.33384675193445
80,Luke Hughes,D,20,21.050753710792918,4.191138675971829
81,Mattias Samuelsson,D,23,21.00908496908928,0.7681264514524999
82,Valeri Nichushkin,R,28,20.912902472081345,11.20713312348782
83,John Klingberg,D,31,20.901458282887436,0.8025983572006226
84,Tim Stützle,L,21,20.88893663466084,6.829511318527719
85,Auston Matthews,C,26,20.88812958221257,19.656595208038105
86,Kirill Kaprizov,L,26,20.859200961245502,11.005397299611687
87,Kaiden Guhle,D,21,20.856128575084778,1.65544606062611
