,PlayerID,Player,Team,Position,Headshot,Team Logo,playerStripped,GP,TOI,TOI/GP,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,HDCF/60,HDCA/60,HDCF%,HDGF/60,HDGA/60,HDGF%,MDCF/60,MDCA/60,MDCF%,MDGF/60,MDGA/60,MDGF%,LDCF/60,LDCA/60,LDCF%,LDGF/60,LDGA/60,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts/60,Neu. Zone Starts/60,Def. Zone Starts/60,On The Fly Starts/60,Off. Zone Start %,Off. Zone Faceoffs/60,Neu. Zone Faceoffs/60,Def. Zone Faceoffs/60,Off. Zone Faceoff %
497,8483460,David Jiricek,CBJ,D,https://assets.nhle.com/mugs/nhl/20232024/CBJ/8483460.png,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,davidjiricek,0,0,0,0,0,0,0,0,0,0,0,46.47,0,0,44.44,0,0,0,0,0,46.03,0,0,42.22,0,0,37.93,0,0,48.54,0,0,50.00,0,0,0,0,0,66.67,7.07,92.33,0.994,0,0,0,0,55.28,0,0,0,55.84
498,8479293,Brandon Tanev,SEA,L,https://assets.nhle.com/mugs/nhl/20232024/SEA/8479293.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,brandontanev,0,0,0,0,0,0,0,0,0,0,0,37.79,0,0,37.50,0,0,0,0,0,37.77,0,0,36.29,0,0,33.33,0,0,38.77,0,0,40.91,0,0,0,0,0,33.33,8.23,91.67,0.999,0,0,0,0,38.35,0,0,0,34.12
499,8478508,Yakov Trenin,COL,C,https://assets.nhle.com/mugs/nhl/20232024/COL/8478508.png,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,yakovtrenin,0,0,0,0,0,0,0,0,0,0,0,46.37,0,0,50.59,0,0,0,0,0,47.09,0,0,45.82,0,0,43.48,0,0,48.04,0,0,56.25,0,0,0,0,0,50.00,8.87,92.51,1.014,0,0,0,0,24.85,0,0,0,28.85
500,8477444,Andre Burakovsky,SEA,L,https://assets.nhle.com/mugs/nhl/20232024/SEA/8477444.png,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,andreburakovsky,0,0,0,0,0,0,0,0,0,0,0,53.96,0,0,49.18,0,0,0,0,0,57.21,0,0,57.59,0,0,41.67,0,0,56.97,0,0,50.00,0,0,0,0,0,76.92,8.00,90.31,0.983,0,0,0,0,68.40,0,0,0,63.92
501,8473563,Nicklas Backstrom,WSH,C,https://assets.nhle.com/mugs/nhl/20232024/WSH/8473563.png,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,nicklasbackstrom,0,0,0,0,0,0,0,0,0,0,0,57.69,0,0,33.33,0,0,0,0,0,53.13,0,0,60.98,0,0,40.00,0,0,47.27,0,0,0.00,0,0,0,0,0,-,3.33,90.91,0.942,0,0,0,0,69.23,0,0,0,72.97
502,8478856,Conor Garland,VAN,R,https://assets.nhle.com/mugs/nhl/20232024/VAN/8478856.png,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,conorgarland,0,0,0,0,0,0,0,0,0,0,0,58.39,0,0,64.81,0,0,0,0,0,62.71,0,0,65.61,0,0,63.79,0,0,60.38,0,0,71.88,0,0,0,0,0,58.82,10.82,91.76,1.026,0,0,0,0,55.30,0,0,0,53.55
503,8484145,Zach Benson,BUF,L,https://assets.nhle.com/mugs/nhl/20232024/BUF/8484145.png,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,zachbenson,0,0,0,0,0,0,0,0,0,0,0,54.14,0,0,48.42,0,0,0,0,0,52.00,0,0,48.35,0,0,44.90,0,0,54.59,0,0,46.88,0,0,0,0,0,63.64,8.47,89.35,0.978,0,0,0,0,60.87,0,0,0,57.22
504,8483499,Liam Ohgren,MIN,L,https://assets.nhle.com/mugs/nhl/20232024/MIN/8483499.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,liamohgren,0,0,0,0,0,0,0,0,0,0,0,54.17,0,0,60.00,0,0,0,0,0,46.94,0,0,55.56,0,0,66.67,0,0,41.94,0,0,0.00,0,0,0,0,0,100.00,11.54,90.91,1.024,0,0,0,0,60.00,0,0,0,56.00
505,8476278,Colin Blackwell,CHI,C,https://assets.nhle.com/mugs/nhl/20232024/CHI/8476278.png,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,colinblackwell,0,0,0,0,0,0,0,0,0,0,0,45.70,0,0,40.00,0,0,0,0,0,39.54,0,0,35.63,0,0,47.83,0,0,42.55,0,0,33.33,0,0,0,0,0,25.00,6.64,91.61,0.983,0,0,0,0,30.24,0,0,0,31.56
506,8475220,Marcus Foligno,MIN,L,https://assets.nhle.com/mugs/nhl/20232024/MIN/8475220.png,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,marcusfoligno,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,43.94,0,0,0,0,0,44.58,0,0,43.28,0,0,41.67,0,0,45.48,0,0,53.85,0,0,0,0,0,23.08,8.84,90.49,0.993,0,0,0,0,32.74,0,0,0,35.17
