,PlayerID,Player,Position,Team,Age,Games Played,Goals,Assists,Points,TOI
256,8477429,Andrew Copp,C,DET,30,0.0,0.0,0.0,0.0,0.0
257,8477435,Ryan Graves,D,PIT,29,0.0,0.0,0.0,0.0,0.0
258,8477444,Andre Burakovsky,L,SEA,29,0.0,0.0,0.0,0.0,0.0
259,8477446,Michael McCarron,R,NSH,29,0.0,0.0,0.0,0.0,0.0
260,8477447,Shea Theodore,D,VGK,29,0.0,0.0,0.0,0.0,0.0
261,8477450,Jason Dickinson,C,CHI,29,0.0,0.0,0.0,0.0,0.0
262,8477451,Ryan Hartman,R,MIN,30,0.0,0.0,0.0,0.0,0.0
263,8477456,J.T. Compher,L,DET,29,0.0,0.0,0.0,0.0,0.0
264,8477462,Robert Hagg,D,VGK,29,0.0,0.0,0.0,0.0,0.0
265,8477467,Gustav Olofsson,D,SEA,30,0.0,0.0,0.0,0.0,0.0
266,8477473,Justin Bailey,R,SJS,29,0.0,0.0,0.0,0.0,0.0
267,8477476,Artturi Lehkonen,L,COL,29,0.0,0.0,0.0,0.0,0.0
268,8477478,William Carrier,L,CAR,30,0.0,0.0,0.0,0.0,0.0
269,8477479,Tyler Bertuzzi,L,CHI,29,0.0,0.0,0.0,0.0,0.0
270,8477482,Zachary Sanford,L,CHI,30,0.0,0.0,0.0,0.0,0.0
271,8477488,Brett Pesce,D,NJD,30,0.0,0.0,0.0,0.0,0.0
272,8477492,Nathan MacKinnon,C,COL,29,0.0,0.0,0.0,0.0,0.0
273,8477493,Aleksander Barkov,C,FLA,29,0.0,0.0,0.0,0.0,0.0
274,8477494,Jonathan Drouin,L,COL,29,0.0,0.0,0.0,0.0,0.0
275,8477495,Seth Jones,D,CHI,30,0.0,0.0,0.0,0.0,0.0
276,8477496,Elias Lindholm,C,BOS,30,0.0,0.0,0.0,0.0,0.0
277,8477497,Sean Monahan,C,CBJ,30,0.0,0.0,0.0,0.0,0.0
278,8477499,Rasmus Ristolainen,D,PHI,30,0.0,0.0,0.0,0.0,0.0
279,8477500,Bo Horvat,C,NYI,29,0.0,0.0,0.0,0.0,0.0
280,8477501,Valeri Nichushkin,R,COL,29,0.0,0.0,0.0,0.0,0.0
281,8477504,Josh Morrissey,D,WPG,29,0.0,0.0,0.0,0.0,0.0
282,8477505,Alexander Wennberg,C,SJS,30,0.0,0.0,0.0,0.0,0.0
283,8477506,Ryan Pulock,D,NYI,30,0.0,0.0,0.0,0.0,0.0
284,8477507,Nikita Zadorov,D,BOS,29,0.0,0.0,0.0,0.0,0.0
285,8477508,Curtis Lazar,C,NJD,29,0.0,0.0,0.0,0.0,0.0
286,8477511,Anthony Mantha,R,CGY,30,0.0,0.0,0.0,0.0,0.0
287,8477527,Ross Johnston,L,ANA,30,0.0,0.0,0.0,0.0,0.0
288,8477573,Nathan Walker,L,STL,30,0.0,0.0,0.0,0.0,0.0
289,8477810,Joel Hanley,D,CGY,33,0.0,0.0,0.0,0.0,0.0
290,8477839,Conor Sheary,L,TBL,32,0.0,0.0,0.0,0.0,0.0
291,8477845,Trevor van Riemsdyk,D,WSH,33,0.0,0.0,0.0,0.0,0.0
292,8477851,Jordan Oesterle,D,BOS,32,0.0,0.0,0.0,0.0,0.0
293,8477887,Patrick Brown,C,BOS,32,0.0,0.0,0.0,0.0,0.0
294,8477903,Garnet Hathaway,R,PHI,33,0.0,0.0,0.0,0.0,0.0
295,8477919,Frederick Gaudreau,C,MIN,31,0.0,0.0,0.0,0.0,0.0
296,8477931,Tomas Nosek,L,FLA,32,0.0,0.0,0.0,0.0,0.0
297,8477932,Aaron Ekblad,D,FLA,28,0.0,0.0,0.0,0.0,0.0
298,8477933,Sam Reinhart,C,FLA,29,0.0,0.0,0.0,0.0,0.0
299,8477935,Sam Bennett,C,FLA,28,0.0,0.0,0.0,0.0,0.0
300,8477938,Haydn Fleury,D,WPG,28,0.0,0.0,0.0,0.0,0.0
301,8477940,Nikolaj Ehlers,L,WPG,28,0.0,0.0,0.0,0.0,0.0
302,8477942,Kevin Fiala,L,LAK,28,0.0,0.0,0.0,0.0,0.0
